ArbiBird #1: Background: Blue, Body: Stark - Gray, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Angry - Red, Eyewear: Visor (Jade), Headwear: Captain's Cap
ArbiBird #2: Background: Blue, Body: Guardian - Red, Beak: Small - Ruby, Outerwear: Gold Chain, Eyes: Open (Jade), Eyewear: Sunglasses, Headwear: Grail
ArbiBird #3: Background: Blue, Body: Tranquil - Pink, Beak: Long - Orange, Outerwear: Bomber Jacket, Eyes: Open (Cosmic), Eyewear: Monocle, Headwear: Headphones
ArbiBird #4: Background: Blue, Body: Crescent - White, Beak: Short - Robot, Outerwear: Hoodie, Eyes: Discerning - Golden, Eyewear: Gazelles, Headwear: Rubber Duck
ArbiBird #5: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Small - Ruby, Outerwear: Jean Jacket, Eyes: Open (Cosmic), Eyewear: Aviators, Headwear: Cowboy Hat
ArbiBird #6: Background: Blue, Body: Tranquil - Purple, Beak: Long - Skeleton, Outerwear: Hero's Tunic, Eyes: Angry - Yellow, Eyewear: Half-moon Spectacles, Headwear: Cowboy Hat
ArbiBird #7: Background: Blue, Body: Brave - Green, Beak: Long - Orange, Outerwear: Hoodie Down, Eyes: Open - Fire, Eyewear: Jobs Glasses, Headwear: Fire
ArbiBird #8: Background: Blue, Body: Professor - Red, Beak: Short - Orange, Outerwear: Punk Jacket, Eyes: Angry - Gray, Eyewear: 3D Glasses, Headwear: Queen's Crown
ArbiBird #9: Background: Blue, Body: Emperor - Pink, Beak: Long - Ruby, Outerwear: Hoodie Down, Eyes: Side-eye - Green, Eyewear: Aviators, Headwear: Chromie
ArbiBird #10: Background: Blue, Body: Brave - Red, Beak: Short - Skeleton, Outerwear: Gold Chain, Eyes: Open - Yellow, Eyewear: Big Tech, Headwear: Skully (Jade)
ArbiBird #11: Background: Blue, Body: Cosmic - Legendary Emperor, Beak: Small (Jade), Outerwear: Diamond Necklace, Eyes: Open - Moon, Eyewear: Gazelles, Headwear: Beanie
ArbiBird #12: Background: Blue, Body: Tabby - Brown, Beak: Long - Robot, Outerwear: Jean Jacket, Eyes: Open - Green, Eyewear: Monocle (Jade), Headwear: Parliament Mask (Jade)
ArbiBird #13: Background: Blue, Body: Stark - Brown, Beak: Small (Enlightened), Outerwear: Hoodie, Eyes: Glitch 2, Eyewear: None, Headwear: Aviator's Cap
ArbiBird #14: Background: Blue, Body: Golden - Legendary Sage, Beak: Small - Ruby, Outerwear: Punk Jacket, Eyes: Side-eye - Purple, Eyewear: Black-rimmed Glasses, Headwear: Crescent Talisman
ArbiBird #15: Background: Blue, Body: Stark - Black, Beak: Short - Robot, Outerwear: Punk Jacket, Eyes: Angry - Skeleton, Eyewear: Visor, Headwear: Tiara
ArbiBird #16: Background: Blue, Body: Tranquil - Pink, Beak: Short - Orange, Outerwear: Diamond Necklace, Eyes: Diamond - Epic, Eyewear: Eyepatch, Headwear: Captain's Cap
ArbiBird #17: Background: Blue, Body: Enlightened - Legendary Guardian, Beak: Small - Skeleton, Outerwear: Diamond Necklace, Eyes: Side-eye - Yellow, Eyewear: None, Headwear: Diamond (Jade)
ArbiBird #18: Background: Blue, Body: Glitch - Legendary Guardian, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Discerning - Gray, Eyewear: None, Headwear: Headphones
ArbiBird #19: Background: Blue, Body: Tabby - Black, Beak: Small (Enlightened), Outerwear: Hoodie Down, Eyes: Discerning - Golden, Eyewear: Visor (Jade), Headwear: Halo
ArbiBird #20: Background: Blue, Body: Cosmic - Legendary Professor, Beak: Short - Orange, Outerwear: None, Eyes: Side-eye - Green, Eyewear: Visor (Jade), Headwear: Bandana
ArbiBird #21: Background: Blue, Body: Guardian - Black, Beak: Long - Ruby, Outerwear: Hoodie, Eyes: Relaxed - Red, Eyewear: Half-moon Spectacles, Headwear: Dancing Flame
ArbiBird #22: Background: Blue, Body: Emperor - Purple, Beak: Short - Ruby, Outerwear: Hoodie Down, Eyes: Relaxed - Gray, Eyewear: Gazelles, Headwear: Moon Hat
ArbiBird #23: Background: Blue, Body: Guardian - White, Beak: Small - Gray, Outerwear: Diamond Necklace, Eyes: Side-eye - Golden, Eyewear: Half-moon Spectacles, Headwear: Tiny Crown (Enlightened)
ArbiBird #24: Background: Blue, Body: Enlightened - Legendary Guardian, Beak: Small - Orange, Outerwear: Hero's Tunic, Eyes: Open - Red, Eyewear: Eyepatch, Headwear: Aviator's Cap
ArbiBird #25: Background: Blue, Body: Tabby - Green, Beak: Long - Golden, Outerwear: None, Eyes: Glitch 2, Eyewear: Visor (Jade), Headwear: Tiny Crown
ArbiBird #26: Background: Blue, Body: Sage - Purple, Beak: Long - Gray, Outerwear: Hoodie Down, Eyes: Angry - Red, Eyewear: Monocle, Headwear: Forest Ranger
ArbiBird #27: Background: Blue, Body: Tranquil - Blue, Beak: Long - Golden, Outerwear: Punk Jacket, Eyes: Side-eye - Gray, Eyewear: Rose-Colored Glasses, Headwear: None
ArbiBird #28: Background: Blue, Body: Jade - Legendary Emperor, Beak: Short - Orange, Outerwear: Hero's Tunic, Eyes: Open - Diamond, Eyewear: Jobs Glasses, Headwear: Karate Band
