ArbiBird #1: Background: Blue, Beak: Stark - Gray, Body: Small - Gray, Eyes: Hoodie, Eyewear: Angry - Red, Headwear: Visor (Jade), Outerwear: Captain's Cap
ArbiBird #2: Background: Blue, Beak: Guardian - Red, Body: Small - Ruby, Eyes: Gold Chain, Eyewear: Open (Jade), Headwear: Sunglasses, Outerwear: Grail
ArbiBird #3: Background: Blue, Beak: Tranquil - Pink, Body: Long - Orange, Eyes: Bomber Jacket, Eyewear: Open (Cosmic), Headwear: Monocle, Outerwear: Headphones
ArbiBird #4: Background: Blue, Beak: Crescent - White, Body: Short - Robot, Eyes: Hoodie, Eyewear: Discerning - Golden, Headwear: Gazelles, Outerwear: Rubber Duck
ArbiBird #5: Background: Blue, Beak: Cosmic - Legendary Guardian, Body: Small - Ruby, Eyes: Jean Jacket, Eyewear: Open (Cosmic), Headwear: Aviators, Outerwear: Cowboy Hat
ArbiBird #6: Background: Blue, Beak: Tranquil - Purple, Body: Long - Skeleton, Eyes: Hero's Tunic, Eyewear: Angry - Yellow, Headwear: Half-moon Spectacles, Outerwear: Cowboy Hat
ArbiBird #7: Background: Blue, Beak: Brave - Green, Body: Long - Orange, Eyes: Hoodie Down, Eyewear: Open - Fire, Headwear: Jobs Glasses, Outerwear: Fire
ArbiBird #8: Background: Blue, Beak: Professor - Red, Body: Short - Orange, Eyes: Punk Jacket, Eyewear: Angry - Gray, Headwear: 3D Glasses, Outerwear: Queen's Crown
ArbiBird #9: Background: Blue, Beak: Emperor - Pink, Body: Long - Ruby, Eyes: Hoodie Down, Eyewear: Side-eye - Green, Headwear: Aviators, Outerwear: Chromie
ArbiBird #10: Background: Blue, Beak: Brave - Red, Body: Short - Skeleton, Eyes: Gold Chain, Eyewear: Open - Yellow, Headwear: Big Tech, Outerwear: Skully (Jade)
ArbiBird #11: Background: Blue, Beak: Cosmic - Legendary Emperor, Body: Small (Jade), Eyes: Diamond Necklace, Eyewear: Open - Moon, Headwear: Gazelles, Outerwear: Beanie
ArbiBird #12: Background: Blue, Beak: Tabby - Brown, Body: Long - Robot, Eyes: Jean Jacket, Eyewear: Open - Green, Headwear: Monocle (Jade), Outerwear: Parliament Mask (Jade)
ArbiBird #13: Background: Blue, Beak: Stark - Brown, Body: Small (Enlightened), Eyes: Hoodie, Eyewear: Glitch 2, Headwear: None, Outerwear: Aviator's Cap
ArbiBird #14: Background: Blue, Beak: Golden - Legendary Sage, Body: Small - Ruby, Eyes: Punk Jacket, Eyewear: Side-eye - Purple, Headwear: Black-rimmed Glasses, Outerwear: Crescent Talisman
ArbiBird #15: Background: Blue, Beak: Stark - Black, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Angry - Skeleton, Headwear: Visor, Outerwear: Tiara
ArbiBird #16: Background: Blue, Beak: Tranquil - Pink, Body: Short - Orange, Eyes: Diamond Necklace, Eyewear: Diamond - Epic, Headwear: Eyepatch, Outerwear: Captain's Cap
ArbiBird #17: Background: Blue, Beak: Enlightened - Legendary Guardian, Body: Small - Skeleton, Eyes: Diamond Necklace, Eyewear: Side-eye - Yellow, Headwear: None, Outerwear: Diamond (Jade)
ArbiBird #18: Background: Blue, Beak: Glitch - Legendary Guardian, Body: Small - Ruby, Eyes: Bomber Jacket, Eyewear: Discerning - Gray, Headwear: None, Outerwear: Headphones
ArbiBird #19: Background: Blue, Beak: Tabby - Black, Body: Small (Enlightened), Eyes: Hoodie Down, Eyewear: Discerning - Golden, Headwear: Visor (Jade), Outerwear: Halo
ArbiBird #20: Background: Blue, Beak: Cosmic - Legendary Professor, Body: Short - Orange, Eyes: None, Eyewear: Side-eye - Green, Headwear: Visor (Jade), Outerwear: Bandana
ArbiBird #21: Background: Blue, Beak: Guardian - Black, Body: Long - Ruby, Eyes: Hoodie, Eyewear: Relaxed - Red, Headwear: Half-moon Spectacles, Outerwear: Dancing Flame
ArbiBird #22: Background: Blue, Beak: Emperor - Purple, Body: Short - Ruby, Eyes: Hoodie Down, Eyewear: Relaxed - Gray, Headwear: Gazelles, Outerwear: Moon Hat
ArbiBird #23: Background: Blue, Beak: Guardian - White, Body: Small - Gray, Eyes: Diamond Necklace, Eyewear: Side-eye - Golden, Headwear: Half-moon Spectacles, Outerwear: Tiny Crown (Enlightened)
ArbiBird #24: Background: Blue, Beak: Enlightened - Legendary Guardian, Body: Small - Orange, Eyes: Hero's Tunic, Eyewear: Open - Red, Headwear: Eyepatch, Outerwear: Aviator's Cap
ArbiBird #25: Background: Blue, Beak: Tabby - Green, Body: Long - Golden, Eyes: None, Eyewear: Glitch 2, Headwear: Visor (Jade), Outerwear: Tiny Crown
ArbiBird #26: Background: Blue, Beak: Sage - Purple, Body: Long - Gray, Eyes: Hoodie Down, Eyewear: Angry - Red, Headwear: Monocle, Outerwear: Forest Ranger
ArbiBird #27: Background: Blue, Beak: Tranquil - Blue, Body: Long - Golden, Eyes: Punk Jacket, Eyewear: Side-eye - Gray, Headwear: Rose-Colored Glasses, Outerwear: None
ArbiBird #28: Background: Blue, Beak: Jade - Legendary Emperor, Body: Short - Orange, Eyes: Hero's Tunic, Eyewear: Open - Diamond, Headwear: Jobs Glasses, Outerwear: Karate Band
ArbiBird #29: Background: Blue, Beak: Professor - White, Body: Small (Cosmic), Eyes: None, Eyewear: Fire - Ruby, Headwear: Black-rimmed Glasses, Outerwear: Chromie
ArbiBird #30: Background: Blue, Beak: Tranquil - Blue, Body: Long - Gray, Eyes: None, Eyewear: Discerning - Golden, Headwear: Jobs Glasses, Outerwear: Skully (Jade)
ArbiBird #31: Background: Blue, Beak: Emperor - Red, Body: Small (Jade), Eyes: Punk Jacket, Eyewear: Open (Cosmic), Headwear: Visor (Jade), Outerwear: Crescent Talisman
ArbiBird #32: Background: Blue, Beak: Stark - Green, Body: Long - Gray, Eyes: Punk Jacket, Eyewear: Side-eye - White, Headwear: Black-rimmed Glasses, Outerwear: Halo
ArbiBird #33: Background: Blue, Beak: Crescent - Gray, Body: Small (Enlightened), Eyes: None, Eyewear: Angry - Gray, Headwear: Visor (Jade), Outerwear: Headband
ArbiBird #34: Background: Blue, Beak: Cosmic - Legendary Emperor, Body: Long - Orange, Eyes: Punk Jacket, Eyewear: Open - Purple, Headwear: Monocle, Outerwear: Headphones
ArbiBird #35: Background: Blue, Beak: Stark - Pink, Body: Small - Golden, Eyes: Hoodie Down, Eyewear: Open - Ruby, Headwear: Monocle (Jade), Outerwear: Bucket Hat
ArbiBird #36: Background: Blue, Beak: Tranquil - Black, Body: Small (Jade), Eyes: Punk Jacket, Eyewear: Glitch 1, Headwear: Monocle (Jade), Outerwear: Wizard's Hat (Jade)
ArbiBird #37: Background: Blue, Beak: Skeleton - Bone, Body: Short - Skeleton, Eyes: Diamond Necklace, Eyewear: Open (Enlightened), Headwear: Gazelles, Outerwear: Wizard's Hat (Jade)
ArbiBird #38: Background: Blue, Beak: Brave - White, Body: Long - Golden, Eyes: Jean Jacket, Eyewear: Relaxed (Enlightened), Headwear: Half-moon Spectacles, Outerwear: Diamond (Jade)
ArbiBird #39: Background: Blue, Beak: Crescent - Gray, Body: Small - Gray, Eyes: Hoodie Down, Eyewear: Open - Yellow, Headwear: Big Tech, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #40: Background: Blue, Beak: Sage - Black, Body: Small (Cosmic), Eyes: Bomber Jacket, Eyewear: Adorable - Ruby, Headwear: Gazelles, Outerwear: Beanie
ArbiBird #41: Background: Blue, Beak: Sage - White, Body: Small - Skeleton, Eyes: Bomber Jacket, Eyewear: Relaxed - White, Headwear: Eyepatch, Outerwear: Witch's Hat
ArbiBird #42: Background: Blue, Beak: Skeleton - Bone, Body: Short - Ruby, Eyes: Hoodie Down, Eyewear: Open - Ruby, Headwear: Eyepatch, Outerwear: Tiny Crown
ArbiBird #43: Background: Blue, Beak: Brave - Pink, Body: Long - Gray, Eyes: Bomber Jacket, Eyewear: Relaxed - White, Headwear: 3D Glasses, Outerwear: Chromie
ArbiBird #44: Background: Blue, Beak: Professor - Brown, Body: Long - Orange, Eyes: Gold Chain, Eyewear: Angry - Red, Headwear: Aviators, Outerwear: Queen's Crown
ArbiBird #45: Background: Blue, Beak: Enlightened - Legendary Sage, Body: Small (Cosmic), Eyes: Hoodie, Eyewear: Angry - Green, Headwear: Aviators, Outerwear: Mohawk (Pink)
ArbiBird #46: Background: Blue, Beak: Emperor - Purple, Body: Long - Skeleton, Eyes: Gold Chain, Eyewear: Angry - Yellow, Headwear: Monocle, Outerwear: Headband
ArbiBird #47: Background: Blue, Beak: Robot - Metal, Body: Small - Orange, Eyes: Diamond Necklace, Eyewear: Discerning - Gray, Headwear: Half-moon Spectacles, Outerwear: Captain's Cap
ArbiBird #48: Background: Blue, Beak: Tranquil - White, Body: Small - Skeleton, Eyes: Bomber Jacket, Eyewear: Relaxed - Golden, Headwear: Sunglasses, Outerwear: Pirate's Hat
ArbiBird #49: Background: Blue, Beak: Brave - Blue, Body: Small - Skeleton, Eyes: Bomber Jacket, Eyewear: Open - Green, Headwear: Aviators, Outerwear: Grail
ArbiBird #50: Background: Blue, Beak: Ruby Skeleton - Legendary Bone, Body: Long - Golden, Eyes: Punk Jacket, Eyewear: Angry - Purple, Headwear: Monocle, Outerwear: Halo (Enlightened Variant)
ArbiBird #51: Background: Blue, Beak: Crescent - White, Body: Long - Ruby, Eyes: Jean Jacket, Eyewear: Angry - White, Headwear: Aviators, Outerwear: Witch's Hat
ArbiBird #52: Background: Blue, Beak: Robot - Metal, Body: Small - Orange, Eyes: Hero's Tunic, Eyewear: Angry - Green, Headwear: Half-moon Spectacles, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #53: Background: Blue, Beak: Cosmic - Legendary Professor, Body: Long - Ruby, Eyes: Hoodie Down, Eyewear: Discerning - Golden, Headwear: Visor, Outerwear: Witch's Hat
ArbiBird #54: Background: Blue, Beak: Enlightened - Legendary Sage, Body: Small (Cosmic), Eyes: Hoodie Down, Eyewear: Open - Enchanted, Headwear: Visor (Jade), Outerwear: Hero's Cap
ArbiBird #55: Background: Blue, Beak: Guardian - Purple, Body: Long - Orange, Eyes: Punk Jacket, Eyewear: Angry - Robot, Headwear: Monocle, Outerwear: Skully (Jade)
ArbiBird #56: Background: Blue, Beak: Emperor - Pink, Body: Small (Jade), Eyes: Hoodie Down, Eyewear: Open - Purple, Headwear: Visor (Jade), Outerwear: Raincloud
ArbiBird #57: Background: Blue, Beak: Tabby - Red, Body: Long - Orange, Eyes: Gold Chain, Eyewear: Fire - Epic, Headwear: Half-moon Spectacles, Outerwear: Headphones
ArbiBird #58: Background: Blue, Beak: Tranquil - Blue, Body: Long - Orange, Eyes: Jean Jacket, Eyewear: Relaxed - Skeleton, Headwear: Gazelles, Outerwear: Tiara
ArbiBird #59: Background: Blue, Beak: Crescent - Brown, Body: Long - Robot, Eyes: Diamond Necklace, Eyewear: Relaxed (Enlightened), Headwear: Big Tech, Outerwear: Diamond
ArbiBird #60: Background: Blue, Beak: Glitch - Legendary Emperor, Body: Small (Jade), Eyes: Bomber Jacket, Eyewear: Angry - Purple, Headwear: Big Tech, Outerwear: Crescent Talisman (Jade)
ArbiBird #61: Background: Blue, Beak: Professor - Brown, Body: Small - Skeleton, Eyes: Hoodie Down, Eyewear: Open - Diamond, Headwear: Big Tech, Outerwear: Moon Hat
ArbiBird #62: Background: Blue, Beak: Tabby - Green, Body: Small - Gray, Eyes: Hoodie, Eyewear: Angry - Skeleton, Headwear: 3D Glasses, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #63: Background: Blue, Beak: Guardian - Pink, Body: Small (Enlightened), Eyes: Hoodie, Eyewear: Open - Fire, Headwear: Monocle, Outerwear: Bucket Hat
ArbiBird #64: Background: Blue, Beak: Professor - Green, Body: Short - Ruby, Eyes: Hoodie, Eyewear: Angry - Red, Headwear: Black-rimmed Glasses, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #65: Background: Blue, Beak: Jade - Legendary Guardian, Body: Short - Robot, Eyes: Hoodie Down, Eyewear: Angry - Blue, Headwear: Eyepatch, Outerwear: Fire
ArbiBird #66: Background: Blue, Beak: Crescent - Green, Body: Small - Skeleton, Eyes: Jean Jacket, Eyewear: Adorable - Epic, Headwear: Black-rimmed Glasses, Outerwear: Crescent Talisman
ArbiBird #67: Background: Blue, Beak: Brave - Red, Body: Small - Gray, Eyes: None, Eyewear: Discerning - Gray, Headwear: None, Outerwear: Grail
ArbiBird #68: Background: Blue, Beak: Ruby Skeleton - Legendary Bone, Body: Small (Jade), Eyes: Punk Jacket, Eyewear: Discerning - Golden, Headwear: Monocle, Outerwear: Diamond
ArbiBird #69: Background: Blue, Beak: Emperor - Purple, Body: Short - Skeleton, Eyes: Hoodie, Eyewear: Side-eye - Red, Headwear: Jobs Glasses, Outerwear: Grail
ArbiBird #70: Background: Blue, Beak: Glitch - Legendary Guardian, Body: Short - Skeleton, Eyes: Hoodie, Eyewear: Glitch 4, Headwear: Black-rimmed Glasses, Outerwear: Headband
ArbiBird #71: Background: Blue, Beak: Sage - White, Body: Small - Robot, Eyes: Hero's Tunic, Eyewear: Closed (Enlightened), Headwear: Rose-Colored Glasses, Outerwear: Mohawk (Jade)
ArbiBird #72: Background: Blue, Beak: Sage - White, Body: Small - Robot, Eyes: Hoodie, Eyewear: Side-eye - Blue, Headwear: Aviators, Outerwear: Mohawk (Green)
ArbiBird #73: Background: Blue, Beak: Brave - Brown, Body: Short - Golden, Eyes: Punk Jacket, Eyewear: Moon - Epic, Headwear: Aviators, Outerwear: Hero's Cap
ArbiBird #74: Background: Blue, Beak: Stark - Pink, Body: Long - Orange, Eyes: Hero's Tunic, Eyewear: Discerning - Red, Headwear: Visor (Jade), Outerwear: Halo (Jade)
ArbiBird #75: Background: Blue, Beak: Emperor - Pink, Body: Short - Gray, Eyes: Hoodie, Eyewear: Open - Red, Headwear: Jobs Glasses, Outerwear: Gremplin
ArbiBird #76: Background: Blue, Beak: Tranquil - Gray, Body: Long - Golden, Eyes: Hoodie, Eyewear: Relaxed - White, Headwear: Visor (Jade), Outerwear: Skully (Jade)
ArbiBird #77: Background: Blue, Beak: Stark - Green, Body: Long - Skeleton, Eyes: Hoodie Down, Eyewear: Discerning - Green, Headwear: Black-rimmed Glasses, Outerwear: Queen's Crown
ArbiBird #78: Background: Blue, Beak: Stark - Pink, Body: Small (Enlightened), Eyes: Jean Jacket, Eyewear: Open - Ruby, Headwear: Aviators, Outerwear: Parliament Mask (Jade)
ArbiBird #79: Background: Blue, Beak: Guardian - Brown, Body: Small - Robot, Eyes: Diamond Necklace, Eyewear: Glitch 6, Headwear: Rose-Colored Glasses, Outerwear: Beanie
